iter	TotalF1	MultiClass
270	0.8526266346	0.4099581936
271	0.852968101	0.4094455145
272	0.853157324	0.4089231717
273	0.8531021656	0.408545368
274	0.8531936811	0.4081175423
275	0.8531034689	0.407563307
276	0.8536246429	0.4071884993
277	0.8541831964	0.4067514874
278	0.8542201489	0.4063696316
279	0.8546950881	0.4058894037
280	0.8550533271	0.4053873766
281	0.8554074179	0.4051113065
282	0.8554619364	0.4047730015
283	0.8557254772	0.404297908
284	0.855771607	0.4038233636
285	0.855685936	0.4034509293
286	0.8557388412	0.4030211196
287	0.8556521051	0.4025055603
288	0.8559351195	0.4020678739
289	0.8561270209	0.4014537395
290	0.8555962206	0.4008595325
291	0.8560412362	0.4004133586
292	0.8561086413	0.4000243098
293	0.8566879499	0.399702732
294	0.8568002631	0.3992797878
295	0.8572597208	0.3988177664
296	0.8576639212	0.3985521315
297	0.8576756028	0.3981616377
298	0.8575818399	0.3978941869
299	0.8575620733	0.3974059953
300	0.858421386	0.3969420642
301	0.8578883125	0.3965030645
302	0.8579373685	0.3960919388
303	0.85822579	0.3957376526
304	0.858556155	0.3952918025
305	0.858600539	0.3949286
306	0.8587687324	0.3946277231
307	0.8587612118	0.3942276387
308	0.8587626078	0.3939803323
309	0.8589225916	0.3936377651
310	0.8592469863	0.3932041498
311	0.8599929758	0.3928206718
312	0.8598197623	0.3924141199
313	0.8600691253	0.3920338395
314	0.8600349646	0.3917488717
315	0.8597847434	0.3913540889
316	0.8605525503	0.3909792929
317	0.8607547529	0.3906313651
318	0.86097963	0.3904239681
319	0.8613445874	0.3900337661
320	0.8615754055	0.3898512166
321	0.8613264709	0.3896638797
322	0.8616694539	0.3894329364
323	0.8618461575	0.3892119206
324	0.8620779552	0.3889755213
325	0.8623210149	0.3886392406
326	0.8624138111	0.3884190749
327	0.8625780445	0.3880874833
328	0.8627426163	0.3877235994
329	0.8628181059	0.3873944025
330	0.8631608476	0.3869576259
331	0.8639556086	0.3864806395
332	0.8640128662	0.3859412984
333	0.8642652184	0.38563237
334	0.8644006892	0.3851860503
335	0.8647634669	0.3847165951
